ts,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2024-02-02 20:30:00,99.75,99.86,99.5,99.51,4303.104619,429142.48963792,429142.48963792,1
2024-02-02 20:45:00,99.54,99.67,98.89,99.12,6124.378238,607321.2865062,607321.2865062,1
2024-02-02 21:00:00,99.12,99.36,99.03,99.26,3853.520225,382287.08155997,382287.08155997,1
2024-02-02 21:15:00,99.26,99.66,99.21,99.59,2007.162474,199664.50885964,199664.50885964,1
2024-02-02 21:30:00,99.58,99.66,99.29,99.3,1206.316025,120034.05755648,120034.05755648,1
2024-02-02 21:45:00,99.33,99.65,99.25,99.35,1992.69282,198102.53518236,198102.53518236,1
2024-02-02 22:00:00,99.35,99.76,99.22,99.66,3401.349349,338280.65469684,338280.65469684,1
2024-02-02 22:15:00,99.67,100.14,99.54,100.08,2370.492102,236666.83516991,236666.83516991,1
2024-02-02 22:30:00,100.07,100.25,99.89,100.13,1890.019578,189152.3478203,189152.3478203,1
2024-02-02 22:45:00,100.14,100.43,99.93,100.33,2591.231774,259539.60018682,259539.60018682,1
2024-02-02 23:00:00,100.34,100.86,100.26,100.62,6038.106997,607460.74921883,607460.74921883,1
2024-02-02 23:15:00,100.67,100.74,100.36,100.57,2165.852206,217625.30440753,217625.30440753,1
2024-02-02 23:30:00,100.54,100.78,100.42,100.47,3391.707726,341133.43425046,341133.43425046,1
2024-02-02 23:45:00,100.47,100.59,100.33,100.59,1813.69942,182203.3841505,182203.3841505,1
2024-02-03 00:00:00,100.58,100.7,100.0,100.36,5799.171893,581855.38104017,581855.38104017,1
2024-02-03 00:15:00,100.39,101.25,100.33,101.1,10817.731879,1090705.09069872,1090705.09069872,1
2024-02-03 00:30:00,101.1,101.17,100.62,100.73,7719.709829,778014.46266473,778014.46266473,1
2024-02-03 00:45:00,100.69,100.69,100.09,100.09,5994.389886,601502.98858144,601502.98858144,1
2024-02-03 01:00:00,100.1,100.39,100.09,100.25,4859.129565,486986.14814232,486986.14814232,1
2024-02-03 01:15:00,100.24,100.59,100.22,100.57,5326.16153,534733.79117601,534733.79117601,1
2024-02-03 01:30:00,100.57,100.57,100.05,100.24,5540.920934,555443.12005308,555443.12005308,1
2024-02-03 01:45:00,100.23,100.26,99.53,100.06,7244.143235,722871.40921303,722871.40921303,1
2024-02-03 02:00:00,100.07,100.18,99.44,99.5,5418.710498,540970.64563106,540970.64563106,1
2024-02-03 02:15:00,99.52,99.82,99.11,99.72,10326.38764,1027264.01262991,1027264.01262991,1
2024-02-03 02:30:00,99.72,99.91,99.48,99.6,3307.169186,329773.14657513,329773.14657513,1
2024-02-03 02:45:00,99.61,99.7,99.29,99.56,3957.980702,393535.26703164,393535.26703164,1
2024-02-03 03:00:00,99.57,99.68,99.38,99.64,3711.483227,369239.55532423,369239.55532423,1
2024-02-03 03:15:00,99.65,99.89,99.36,99.38,2346.139254,233525.03322445,233525.03322445,1
2024-02-03 03:30:00,99.38,99.56,99.19,99.49,3495.353543,347260.67760164,347260.67760164,1
2024-02-03 03:45:00,99.48,99.6,99.22,99.24,4432.578974,440675.35919022,440675.35919022,1
2024-02-03 04:00:00,99.25,99.58,99.19,99.47,5038.928447,500865.72525898,500865.72525898,1
2024-02-03 04:15:00,99.46,99.63,99.36,99.51,2536.229039,252334.83855266,252334.83855266,1
2024-02-03 04:30:00,99.52,99.84,99.39,99.75,2493.447883,248560.778927,248560.778927,1
2024-02-03 04:45:00,99.76,99.79,99.53,99.63,1169.75295,116547.44402484,116547.44402484,1
2024-02-03 05:00:00,99.65,99.89,99.38,99.89,2869.070053,285729.53233767,285729.53233767,1
2024-02-03 05:15:00,99.9,100.02,99.5,99.52,3462.547736,345504.60683315,345504.60683315,1
2024-02-03 05:30:00,99.49,99.79,99.48,99.7,898.738308,89527.69079081,89527.69079081,1
2024-02-03 05:45:00,99.71,100.09,99.69,100.08,2218.513288,221693.62038854,221693.62038854,1
2024-02-03 06:00:00,100.08,100.08,99.69,99.8,3659.749734,365671.63814223,365671.63814223,1
2024-02-03 06:15:00,99.79,99.97,99.66,99.86,3276.148013,327115.96196062,327115.96196062,1
2024-02-03 06:30:00,99.85,99.88,99.6,99.73,998.852551,99627.71993396,99627.71993396,1
2024-02-03 06:45:00,99.72,99.84,99.61,99.61,949.661608,94719.86895121,94719.86895121,1
2024-02-03 07:00:00,99.61,99.89,99.29,99.29,4481.686548,446600.49608003,446600.49608003,1
2024-02-03 07:15:00,99.29,99.5,99.26,99.46,3412.662409,339215.87461443,339215.87461443,1
2024-02-03 07:30:00,99.47,99.69,99.41,99.54,2286.808665,227672.27275261,227672.27275261,1
2024-02-03 07:45:00,99.53,99.54,98.68,99.11,18837.104302,1865681.2839237,1865681.2839237,1
2024-02-03 08:00:00,99.11,99.4,99.08,99.3,6792.114207,674195.40326614,674195.40326614,1
2024-02-03 08:15:00,99.3,99.34,98.95,99.06,3792.548028,375990.21932879,375990.21932879,1
