ts,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2024-01-31 12:00:00,99.13,99.97,98.89,99.5,40623.905705,4040022.33171022,4040022.33171022,1
2024-01-31 13:00:00,99.49,100.89,98.92,99.55,71366.278945,7125202.07382955,7125202.07382955,1
2024-01-31 14:00:00,99.54,100.45,98.4,99.81,84094.568105,8360855.11948893,8360855.11948893,1
2024-01-31 15:00:00,99.83,101.88,97.49,101.54,134148.95073,13396310.1170288,13396310.1170288,1
2024-01-31 16:00:00,101.54,102.4,100.56,101.15,78993.267384,8011373.00643446,8011373.00643446,1
2024-01-31 17:00:00,101.15,102.82,100.85,102.6,37990.841683,3866313.587582,3866313.587582,1
2024-01-31 18:00:00,102.6,102.67,101.19,101.57,35234.996234,3588228.0211456,3588228.0211456,1
2024-01-31 19:00:00,101.6,101.98,99.64,100.98,80851.591722,8139047.67650016,8139047.67650016,1
2024-01-31 20:00:00,101.0,101.24,97.8,98.01,85482.323432,8477054.06959521,8477054.06959521,1
2024-01-31 21:00:00,98.05,98.72,95.88,97.28,96920.961731,9409791.57806304,9409791.57806304,1
2024-01-31 22:00:00,97.27,97.9,96.36,97.68,83735.361077,8126712.99326721,8126712.99326721,1
2024-01-31 23:00:00,97.69,97.82,96.55,96.97,26332.088824,2556980.08263129,2556980.08263129,1
2024-02-01 00:00:00,96.96,97.71,96.09,97.3,37587.650976,3645585.81433698,3645585.81433698,1
2024-02-01 01:00:00,97.33,97.47,93.67,94.16,171677.492425,16293952.96614694,16293952.96614694,1
2024-02-01 02:00:00,94.16,94.57,93.6,94.3,82632.917255,7783505.74870627,7783505.74870627,1
2024-02-01 03:00:00,94.29,94.5,93.37,93.63,69937.265532,6565716.17968942,6565716.17968942,1
2024-02-01 04:00:00,93.61,94.47,93.11,94.19,75983.261617,7135857.65931093,7135857.65931093,1
2024-02-01 05:00:00,94.19,94.5,93.57,94.25,46509.759304,4375614.85583297,4375614.85583297,1
2024-02-01 06:00:00,94.24,94.9,94.1,94.72,43582.005565,4117720.88961658,4117720.88961658,1
2024-02-01 07:00:00,94.71,95.79,94.5,94.95,41251.532829,3927909.3090232,3927909.3090232,1
2024-02-01 08:00:00,94.94,95.45,94.6,95.22,27960.834334,2654046.55179135,2654046.55179135,1
2024-02-01 09:00:00,95.22,96.18,94.77,95.9,81368.321742,7781813.70274106,7781813.70274106,1
2024-02-01 10:00:00,95.89,96.74,95.61,96.3,65702.296173,6324035.55787718,6324035.55787718,1
2024-02-01 11:00:00,96.32,96.51,95.27,95.47,44668.588779,4283470.43366607,4283470.43366607,1
2024-02-01 12:00:00,95.44,96.0,95.06,95.3,47451.41133,4529968.17901325,4529968.17901325,1
2024-02-01 13:00:00,95.29,96.03,94.7,95.56,90232.004486,8591173.22470315,8591173.22470315,1
2024-02-01 14:00:00,95.55,97.15,95.43,96.71,77153.596705,7446337.91454163,7446337.91454163,1
2024-02-01 15:00:00,96.7,97.48,95.96,96.01,54777.334504,5304852.03240275,5304852.03240275,1
2024-02-01 16:00:00,95.99,96.48,94.85,96.36,59232.306172,5672837.78637268,5672837.78637268,1
2024-02-01 17:00:00,96.35,97.57,96.24,97.08,61998.987874,6012400.4103125,6012400.4103125,1
2024-02-01 18:00:00,97.11,97.5,96.48,96.81,35581.755399,3450053.22776428,3450053.22776428,1
2024-02-01 19:00:00,96.82,97.97,96.38,97.87,28709.467249,2795937.9918416,2795937.9918416,1
2024-02-01 20:00:00,97.85,98.1,96.89,97.22,27315.977461,2662169.22836174,2662169.22836174,1
2024-02-01 21:00:00,97.19,98.08,97.13,97.95,38924.569701,3804213.07030237,3804213.07030237,1
2024-02-01 22:00:00,97.94,98.0,96.92,97.13,13565.656796,1320329.19058257,1320329.19058257,1
2024-02-01 23:00:00,97.18,97.97,97.0,97.8,27317.151315,2659652.77173182,2659652.77173182,1
2024-02-02 00:00:00,97.82,99.6,97.38,98.85,93702.482446,9263755.91053697,9263755.91053697,1
2024-02-02 01:00:00,98.85,99.27,98.51,98.65,26678.668879,2637057.38135816,2637057.38135816,1
2024-02-02 02:00:00,98.65,99.41,98.07,99.35,41880.753468,4138384.93730567,4138384.93730567,1
2024-02-02 03:00:00,99.35,100.07,98.91,98.96,44010.073175,4379158.44137972,4379158.44137972,1
2024-02-02 04:00:00,98.97,99.39,98.64,99.04,35617.793181,3527860.07812406,3527860.07812406,1
2024-02-02 05:00:00,99.03,99.76,98.44,99.28,48298.167446,4780581.45577832,4780581.45577832,1
2024-02-02 06:00:00,99.28,100.4,99.2,100.17,34951.33231,3489616.05162883,3489616.05162883,1
2024-02-02 07:00:00,100.18,101.5,100.09,101.21,51940.117521,5227298.85310521,5227298.85310521,1
2024-02-02 08:00:00,101.22,101.5,99.89,100.47,48023.610823,4839542.74008676,4839542.74008676,1
2024-02-02 09:00:00,100.47,101.3,100.13,100.66,21961.384022,2212594.54852641,2212594.54852641,1
2024-02-02 10:00:00,100.69,102.28,100.54,101.98,45643.784224,4641249.1090051,4641249.1090051,1
2024-02-02 11:00:00,101.99,102.35,101.49,101.97,26388.218438,2689671.66385344,2689671.66385344,1
2024-02-02 12:00:00,101.97,102.57,101.35,101.42,35690.76891,3636821.18482266,3636821.18482266,1
2024-02-02 13:00:00,101.42,101.74,97.95,98.88,96917.318147,9683758.8536224,9683758.8536224,1
2024-02-02 14:00:00,98.87,99.68,98.58,99.3,40476.932323,4013029.024048,4013029.024048,1
2024-02-02 15:00:00,99.3,101.72,99.17,101.29,85213.907934,8583931.11111668,8583931.11111668,1
2024-02-02 16:00:00,101.3,102.42,99.75,100.08,80949.854946,8175727.58325054,8175727.58325054,1
2024-02-02 17:00:00,100.04,100.58,99.06,99.22,24023.247643,2396426.28014562,2396426.28014562,1
2024-02-02 18:00:00,99.27,99.34,98.32,99.25,21847.413462,2160832.35836219,2160832.35836219,1
2024-02-02 19:00:00,99.24,99.51,98.64,99.45,17128.011416,1697141.43045319,1697141.43045319,1
2024-02-02 20:00:00,99.48,99.86,98.89,99.12,19716.520712,1960997.71498181,1960997.71498181,1
2024-02-02 21:00:00,99.12,99.66,99.03,99.35,9059.691544,900088.18315845,900088.18315845,1
2024-02-02 22:00:00,99.35,100.43,99.22,100.33,10253.092803,1023639.43787387,1023639.43787387,1
2024-02-02 23:00:00,100.34,100.86,100.26,100.59,13409.366349,1348422.87202732,1348422.87202732,1
2024-02-03 00:00:00,100.58,101.25,100.0,100.09,30331.003487,3052077.92298506,3052077.92298506,1
2024-02-03 01:00:00,100.1,100.59,99.53,100.06,22970.355264,2300034.46858444,2300034.46858444,1
2024-02-03 02:00:00,100.07,100.18,99.11,99.56,23010.248026,2291543.07186774,2291543.07186774,1
2024-02-03 03:00:00,99.57,99.89,99.19,99.24,13985.554998,1390700.62534054,1390700.62534054,1
2024-02-03 04:00:00,99.25,99.84,99.19,99.63,11238.358319,1118308.78676348,1118308.78676348,1
2024-02-03 05:00:00,99.65,100.09,99.38,100.08,9448.869385,942455.45035017,942455.45035017,1
2024-02-03 06:00:00,100.08,100.08,99.6,99.61,8884.411906,887135.18898802,887135.18898802,1
2024-02-03 07:00:00,99.61,99.89,98.68,99.11,29018.261924,2879169.92737077,2879169.92737077,1
2024-02-03 08:00:00,99.11,99.4,98.4,98.6,27764.644552,2745153.52375635,2745153.52375635,1
2024-02-03 09:00:00,98.6,99.38,98.54,99.23,16144.536318,1598276.869395,1598276.869395,1
2024-02-03 10:00:00,99.24,99.28,98.77,99.02,13096.646154,1296583.08893516,1296583.08893516,1
2024-02-03 11:00:00,99.02,99.03,98.38,98.64,17592.513308,1734078.62196597,1734078.62196597,1
2024-02-03 12:00:00,98.65,98.97,98.52,98.69,11656.035747,1151794.1783548,1151794.1783548,1
2024-02-03 13:00:00,98.69,98.76,97.77,97.98,27650.628269,2715321.01771351,2715321.01771351,1
