ts,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2024-07-28 08:00:00,6.519,6.586,6.505,6.558,586947.632,3846670.6331097,3846670.6331097,1
2024-07-28 04:00:00,6.598,6.6,6.512,6.519,579961.7396,3797440.9219864,3797440.9219864,1
2024-07-28 00:00:00,6.634,6.656,6.596,6.598,361057.8837,2390423.694904,2390423.694904,1
2024-07-27 20:00:00,6.657,6.67,6.544,6.634,953960.8733,6314666.7065426,6314666.7065426,1
2024-07-27 16:00:00,6.667,6.682,6.626,6.658,496070.694,3301088.672383,3301088.672383,1
2024-07-27 12:00:00,6.716,6.739,6.634,6.666,785375.0364,5253092.0233599,5253092.0233599,1
2024-07-27 08:00:00,6.724,6.742,6.696,6.715,426623.623,2867268.0195212,2867268.0195212,1
2024-07-27 04:00:00,6.664,6.729,6.656,6.725,429917.5589,2877587.601896,2877587.601896,1
2024-07-27 00:00:00,6.707,6.71,6.652,6.664,568564.7148,3796506.6585644,3796506.6585644,1
2024-07-26 20:00:00,6.738,6.742,6.706,6.708,552605.3951,3715508.1247495,3715508.1247495,1
2024-07-26 16:00:00,6.768,6.805,6.713,6.737,862769.8896,5825378.9800894,5825378.9800894,1
2024-07-26 12:00:00,6.748,6.824,6.727,6.768,1174360.7094,7961963.5495877,7961963.5495877,1
2024-07-26 08:00:00,6.73,6.763,6.707,6.748,602452.7127,4061204.8868061,4061204.8868061,1
2024-07-26 04:00:00,6.673,6.761,6.672,6.73,678749.9064,4567217.6052638,4567217.6052638,1
2024-07-26 00:00:00,6.618,6.698,6.608,6.672,807574.074,5374185.9758634,5374185.9758634,1
2024-07-25 20:00:00,6.527,6.626,6.463,6.617,1082176.1701,7101730.7630028,7101730.7630028,1
2024-07-25 16:00:00,6.546,6.585,6.478,6.526,888940.2852,5806069.994317,5806069.994317,1
2024-07-25 12:00:00,6.595,6.607,6.495,6.546,1644561.6755,10759371.5459369,10759371.5459369,1
2024-07-25 08:00:00,6.615,6.658,6.57,6.595,973346.5783,6439583.9063471,6439583.9063471,1
2024-07-25 04:00:00,6.581,6.647,6.55,6.615,1138294.6344,7528724.5168604,7528724.5168604,1
2024-07-25 00:00:00,6.851,6.871,6.546,6.582,3824729.5323,25500695.0852268,25500695.0852268,1
2024-07-24 20:00:00,6.906,6.934,6.829,6.852,753533.8211,5176612.9992901,5176612.9992901,1
